,Диаметр экспл.колонны,Буферное давление,Давление в линии,Динамическая высота,Затрубное давление,Обводненность,Глубина спуска,Давление на приеме
0,150.2,20.1,19.1,2748.0,20.1,32.0,2820.0,26.0
1,146.8,23.0,22.0,2520.0,22.0,22.0,2630.0,36.0
2,146.8,16.6,15.6,2861.0,16.7,32.0,2957.68,23.0
3,146.8,20.0,19.0,2983.0,20.7,70.0,3071.1,23.0
4,146.8,9.1,8.1,2525.0,9.9,72.0,2540.0,11.0
5,146.8,20.0,19.0,2993.0,21.7,72.0,3033.75,25.0
6,146.8,16.0,15.1,2912.0,16.8,34.0,3099.23,28.0
7,146.8,16.4,15.4,2568.0,16.5,79.76,2615.0,20.0
8,146.8,14.0,13.0,2630.0,14.5,84.0,2657.31,15.0
9,146.8,10.0,9.0,2452.0,10.0,74.0,2605.43,25.0
10,159.6,10.0,9.0,2694.0,11.4,64.0,2765.0,14.0
11,146.8,16.0,15.0,2735.0,17.0,59.0,2750.0,19.0
12,146.8,18.9,17.9,2624.0,19.5,92.0,2680.0,25.0
13,146.8,7.1,6.1,2528.0,7.6,31.0,2556.04,11.0
14,157.0,7.2,6.2,2310.0,7.0,50.0,2370.17,13.0
15,146.8,23.0,22.0,2261.0,23.9,60.0,2287.0,38.0
16,159.6,16.0,15.0,2514.0,17.3,30.0,2561.76,20.0
17,146.8,18.5,17.5,2314.0,19.1,84.0,2316.0,21.0
18,150.2,20.0,19.0,2765.0,20.6,50.0,2820.0,26.0
19,146.8,18.7,17.8,2564.0,19.2,63.0,2654.0,29.0
20,146.8,23.0,22.0,2355.0,23.8,68.0,2461.0,28.0
21,146.8,18.5,17.5,2690.0,19.4,29.0,2957.68,29.0
22,146.8,20.0,19.0,2865.0,22.2,12.0,3098.94,42.0
23,146.8,25.0,24.0,2373.0,26.0,18.0,2405.0,28.0
24,146.8,7.1,6.2,2270.0,8.0,37.0,2366.0,18.0
25,146.8,18.0,17.0,2322.0,20.0,8.0,2362.0,25.0
26,146.8,22.7,21.7,2650.0,23.3,85.0,2665.61,25.0
27,146.8,15.0,14.2,2632.0,15.6,26.0,2727.16,18.0
28,146.8,19.4,17.4,2915.0,21.6,40.0,3140.39,30.0
29,146.8,20.0,19.0,2098.0,20.0,17.0,2345.64,23.0
